vendor_id,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd,dropoff_longitude,dropoff_latitude,fare_amount,trip_time,year,month,day,day_of_week,is_weekend,hour,h_distance
1,1,1.4,-73.971,40.758,1,0,-73.954,40.764,7.0,388,2016,1,31,1,1,14,1.5793014389021531
1,1,1.4,-73.971,40.798,1,0,-73.952,40.79,10.0,865,2016,5,10,3,0,7,1.8179977678645924
1,1,1.4,-73.968,40.766,1,0,-73.953,40.777,8.0,569,2016,6,4,7,1,19,1.743968695541098
1,1,1.4,-73.966,40.758,1,0,-73.959,40.775,7.5,411,2016,5,15,1,1,21,1.9580580859687151
1,1,1.4,-73.966,40.763,1,0,-73.982,40.771,10.0,902,2016,5,16,2,0,18,1.7098546146431117
1,1,1.4,-73.962,40.663,1,0,-73.975,40.681,7.5,401,2016,5,15,1,1,19,2.3362996832700706
1,1,1.4,-73.96,40.776,1,0,-73.977,40.766,11.0,964,2016,5,11,4,0,10,1.8312069128226662
1,1,1.4,-73.957,40.775,1,0,-73.975,40.783,7.5,448,2016,5,11,4,0,22,1.7585515498799924
1,1,1.4,-73.953,40.781,1,0,-73.966,40.79,7.0,376,2016,6,4,7,1,15,1.5435354510476593
1,1,1.4,-73.953,40.783,1,0,-73.966,40.765,6.5,289,2016,1,31,1,1,12,2.3081137735674253
1,1,1.4,-73.943,40.693,1,0,-73.929,40.703,7.5,477,2016,5,10,3,0,22,1.5802165210749068
1,1,1.5,-74.007,40.727,1,0,-73.992,40.735,7.5,457,2016,5,16,2,0,19,1.5871219412858957
1,1,1.5,-74.004,40.707,1,0,-73.979,40.711,8.5,635,2016,5,21,7,1,10,2.215010351090924
1,1,1.5,-74.004,40.742,1,0,-73.983,40.737,7.0,430,2016,1,31,1,1,4,1.8940998764580976
1,1,1.5,-74.003,40.734,1,0,-74.011,40.713,6.0,179,2016,1,21,5,0,5,2.400198766443452
1,1,1.5,-74.003,40.74,1,0,-74.001,40.756,7.0,390,2016,5,16,2,0,9,1.883092359671296
1,1,1.5,-74.001,40.752,1,0,-73.98,40.752,16.5,1639,2016,6,3,6,0,9,1.781618934674989
1,1,1.5,-73.998,40.751,1,0,-73.982,40.738,7.5,506,2016,5,17,3,0,20,1.9440511727122993
1,1,1.5,-73.996,40.727,1,0,-73.995,40.712,8.5,587,2016,5,10,3,0,21,1.663521643977081
1,1,1.5,-73.995,40.732,1,0,-73.987,40.746,7.0,353,2016,5,15,1,1,19,1.6315216022882966
1,1,1.5,-73.991,40.75,1,0,-73.978,40.759,7.5,435,2016,5,15,1,1,10,1.503575332655901
1,1,1.5,-73.99,40.742,1,0,-73.989,40.758,7.0,392,2016,5,15,1,1,20,1.7694787006505408
1,1,1.5,-73.989,40.742,1,0,-73.995,40.755,9.0,661,2016,1,21,5,0,14,1.4803088588581161
